# mapping_set_id: https://blackcatinformatics.ca/gmeow/mappings/email
# mapping_set_version: 0.1.0
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_tool: gmeow compile-mappings
# mapping_tool_version: 0.1.0
# mapping_date: 2026-06-03
# comment: Email alignments. EmailMessage is equivalent to schema:EmailMessage; the rest use skos:closeMatch (cross-type/loose) to schema.org, the Nepomuk Message Ontology (NMO), and SIOC. The reified MessageParticipant relator (issue #159) is canonical; flat from/to/cc/bcc and their schema.org/NMO counterparts are lossy projection shortcuts. Trust terms (RelayHop/AuthenticationResult/signatures) are canonical — no maintained external RDF vocabulary exists for them. MessageParticipantRole envelope/resent roles are also canonical — no external vocabulary covers them. threadSubject and subjectPrefix (issue #138) are canonical — no maintained external vocabulary exposes thread-level normalized subject or per-message prefix stripping. MessageKind and its individuals (issue #137) are canonical — no maintained external vocabulary covers DSN/ARF/MDN/auto-generated report kinds. priority, importance, precedence, autoSubmitted, readReceiptRequested, and dispositionNotificationTo (issue #137) are canonical — no maintained external vocabulary covers these behavioral header facets.
# curie_map:
#   gmeow: https://blackcatinformatics.ca/gmeow/
#   nmo: http://www.semanticdesktop.org/ontologies/2007/03/22/nmo#
#   owl: http://www.w3.org/2002/07/owl#
#   schema: https://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   sioc: http://rdfs.org/sioc/ns#
#   skos: http://www.w3.org/2004/02/skos/core#
subject_id	predicate_id	object_id	mapping_justification	confidence	comment
gmeow:EmailMessage	owl:equivalentClass	schema:EmailMessage	semapv:ManualMappingCuration	1.0	
gmeow:EmailMessage	skos:closeMatch	nmo:Email	semapv:ManualMappingCuration	0.95	
gmeow:EmailMessage	skos:closeMatch	sioc:Post	semapv:ManualMappingCuration	0.7	
gmeow:Mailbox	skos:closeMatch	nmo:Mailbox	semapv:ManualMappingCuration	0.85	
gmeow:Message	skos:closeMatch	nmo:Message	semapv:ManualMappingCuration	0.9	
gmeow:Message	skos:closeMatch	schema:Message	semapv:ManualMappingCuration	0.9	
gmeow:Thread	skos:closeMatch	sioc:Thread	semapv:ManualMappingCuration	0.8	
gmeow:bcc	skos:closeMatch	nmo:bcc	semapv:ManualMappingCuration	0.95	
gmeow:bcc	skos:closeMatch	schema:bccRecipient	semapv:ManualMappingCuration	0.95	
gmeow:cc	skos:closeMatch	nmo:cc	semapv:ManualMappingCuration	0.95	
gmeow:cc	skos:closeMatch	schema:ccRecipient	semapv:ManualMappingCuration	0.95	
gmeow:from	skos:closeMatch	nmo:from	semapv:ManualMappingCuration	0.9	
gmeow:from	skos:closeMatch	schema:sender	semapv:ManualMappingCuration	0.9	
gmeow:hasAttachment	skos:closeMatch	nmo:hasAttachment	semapv:ManualMappingCuration	0.9	
gmeow:hasAttachment	skos:closeMatch	schema:messageAttachment	semapv:ManualMappingCuration	0.9	
gmeow:inReplyTo	skos:closeMatch	nmo:inReplyTo	semapv:ManualMappingCuration	0.95	
gmeow:receivedAt	skos:closeMatch	nmo:receivedDate	semapv:ManualMappingCuration	0.95	
gmeow:receivedAt	skos:closeMatch	schema:dateReceived	semapv:ManualMappingCuration	0.95	
gmeow:references	skos:closeMatch	nmo:references	semapv:ManualMappingCuration	0.95	
gmeow:replyTo	skos:closeMatch	nmo:replyTo	semapv:ManualMappingCuration	0.9	
gmeow:rfcMessageId	skos:closeMatch	nmo:messageId	semapv:ManualMappingCuration	0.95	
gmeow:sentAt	skos:closeMatch	nmo:sentDate	semapv:ManualMappingCuration	0.95	
gmeow:sentAt	skos:closeMatch	schema:dateSent	semapv:ManualMappingCuration	0.95	
gmeow:subject	skos:closeMatch	nmo:messageSubject	semapv:ManualMappingCuration	0.95	
gmeow:to	skos:closeMatch	nmo:to	semapv:ManualMappingCuration	0.95	
gmeow:to	skos:closeMatch	schema:toRecipient	semapv:ManualMappingCuration	0.95	
gmeow:userAgent	skos:closeMatch	schema:agent	semapv:ManualMappingCuration	0.5	
